iter	Passed	Remaining
244	476	1467
245	477	1463
246	478	1458
247	479	1454
248	480	1450
249	482	1446
250	483	1443
251	484	1439
252	486	1435
253	487	1431
254	488	1427
255	489	1423
256	491	1419
257	492	1415
258	493	1412
259	494	1408
260	496	1404
261	497	1401
262	498	1398
263	500	1394
264	501	1390
265	502	1386
266	503	1383
267	505	1379
268	506	1376
269	507	1372
270	508	1368
271	510	1365
272	511	1361
273	512	1358
274	513	1354
275	515	1351
276	516	1347
277	517	1344
278	518	1340
279	520	1339
280	522	1335
281	523	1332
282	524	1329
283	525	1325
284	527	1322
285	528	1319
286	529	1316
287	531	1313
288	532	1309
289	534	1308
290	536	1306
291	537	1302
292	538	1299
293	540	1297
294	541	1294
295	543	1292
296	544	1289
297	545	1286
298	547	1283
299	548	1279
300	549	1276
301	551	1273
302	552	1270
303	553	1267
304	554	1264
305	555	1260
306	557	1257
307	558	1254
308	559	1251
309	560	1248
310	562	1245
311	563	1242
312	564	1239
313	565	1236
314	567	1233
315	568	1230
316	569	1226
317	570	1223
318	571	1220
319	573	1218
320	574	1215
321	575	1212
322	577	1209
323	578	1206
324	579	1203
325	580	1200
326	582	1198
327	583	1195
328	584	1192
329	585	1189
330	587	1186
331	588	1183
332	589	1181
333	590	1178
334	592	1175
335	593	1172
336	594	1170
337	596	1167
338	597	1164
339	598	1161
340	599	1159
341	601	1156
342	602	1154
343	603	1151
344	604	1148
345	606	1145
346	607	1143
347	608	1140
348	610	1137
349	611	1135
350	612	1132
351	613	1129
352	614	1127
353	616	1124
354	617	1121
355	618	1118
356	619	1116
357	620	1113
358	622	1110
359	623	1108
360	625	1106
361	626	1103
362	627	1101
363	629	1099
364	630	1096
365	631	1093
366	632	1091
367	633	1088
368	635	1086
369	636	1083
370	637	1081
371	639	1079
372	640	1076
373	641	1073
374	642	1071
375	644	1069
376	645	1066
377	646	1064
378	647	1061
379	649	1059
380	650	1056
381	651	1054
382	652	1051
383	653	1048
384	655	1046
385	656	1043
386	657	1041
387	658	1039
388	659	1036
389	661	1034
390	662	1031
391	663	1029
392	664	1026
393	666	1024
394	667	1022
395	668	1020
396	669	1017
397	671	1015
398	672	1012
399	673	1010
400	674	1008
401	676	1005
402	677	1003
403	678	1001
404	679	998
405	681	996
406	682	994
407	683	992
408	684	989
409	686	987
410	687	985
411	688	983
412	690	981
413	691	978
414	692	976
415	693	974
416	695	971
417	696	969
418	697	967
419	698	964
420	700	963
421	702	962
422	704	960
423	705	958
424	707	957
425	709	956
426	711	954
427	713	953
428	714	951
429	715	948
430	717	946
431	718	944
432	719	942
433	720	939
434	721	937
435	723	935
436	724	933
437	725	931
438	726	928
439	728	926
440	729	924
441	730	922
442	732	920
443	733	918
444	734	916
445	735	913
446	737	911
447	738	909
448	739	907
449	740	905
450	741	903
451	743	900
452	744	898
453	745	896
454	746	894
455	747	892
456	749	890
457	750	888
458	751	885
459	752	883
460	754	881
461	755	879
462	756	877
463	758	875
